airline_name,type,flight_date,timestamp,price
United Airlines,Total,15 March – 19 April,2023-02-04,"6,432"
United Airlines,Total,16 March – 13 April,2023-02-04,"2,449"
United Airlines,Total,16 March – 14 April,2023-02-04,"3,154"
United Airlines,Total,16 March – 15 April,2023-02-04,"3,574"
United Airlines,Total,16 March – 16 April,2023-02-04,"4,035"
United Airlines,Total,16 March – 17 April,2023-02-04,"5,631"
United Airlines,Total,16 March – 18 April,2023-02-04,"6,219"
United Airlines,Total,16 March – 19 April,2023-02-04,"6,529"
United Airlines,Total,17 March – 13 April,2023-02-04,"2,575"
United Airlines,Total,17 March – 14 April,2023-02-04,"3,271"
United Airlines,Total,17 March – 15 April,2023-02-04,"3,519"
United Airlines,Total,17 March – 16 April,2023-02-04,"3,937"
United Airlines,Total,17 March – 17 April,2023-02-04,"5,648"
United Airlines,Total,17 March – 18 April,2023-02-04,"6,120"
United Airlines,Total,17 March – 19 April,2023-02-04,"6,417"
United Airlines,Total,18 March – 13 April,2023-02-04,"2,513"
United Airlines,Total,18 March – 14 April,2023-02-04,"3,139"
United Airlines,Total,18 March – 15 April,2023-02-04,"3,430"
United Airlines,Total,18 March – 16 April,2023-02-04,"3,905"
United Airlines,Total,18 March – 17 April,2023-02-04,"5,597"
United Airlines,Total,18 March – 18 April,2023-02-04,"6,130"
United Airlines,Total,18 March – 19 April,2023-02-04,"6,379"
United Airlines,Departure,1880,2023-02-05,"1,571"
United Airlines,Departure,1850,2023-02-05,"1,772"
United Airlines,Departure,1200,2023-02-05,"1,475"
United Airlines,Departure,1000,2023-02-05,773
United Airlines,Departure,1900,2023-02-05,"1,582"
United Airlines,Departure,1990,2023-02-05,"1,558"
United Airlines,Departure,1760,2023-02-05,"1,834"
United Airlines,Return,13 April,2023-02-05,548
United Airlines,Return,14 April,2023-02-05,802
United Airlines,Return,15 April,2023-02-05,894
United Airlines,Return,16 April,2023-02-05,637
United Airlines,Return,17 April,2023-02-05,611
United Airlines,Return,18 April,2023-02-05,592
United Airlines,Return,19 April,2023-02-05,478
United Airlines,Total,12 March – 13 April,2023-02-05,"2,444"
United Airlines,Total,12 March – 14 April,2023-02-05,"3,143"
United Airlines,Total,12 March – 15 April,2023-02-05,"3,552"
United Airlines,Total,12 March – 16 April,2023-02-05,"4,067"
United Airlines,Total,12 March – 17 April,2023-02-05,"5,675"
United Airlines,Total,12 March – 18 April,2023-02-05,"6,150"
United Airlines,Total,12 March – 19 April,2023-02-05,"6,383"
United Airlines,Total,13 March – 13 April,2023-02-05,"2,436"
United Airlines,Total,13 March – 14 April,2023-02-05,"3,215"
United Airlines,Total,13 March – 15 April,2023-02-05,"3,464"
United Airlines,Total,13 March – 16 April,2023-02-05,"3,891"
United Airlines,Total,13 March – 17 April,2023-02-05,"5,699"
United Airlines,Total,13 March – 18 April,2023-02-05,"6,160"
United Airlines,Total,13 March – 19 April,2023-02-05,"6,457"
United Airlines,Total,14 March – 13 April,2023-02-05,"2,619"
United Airlines,Total,14 March – 14 April,2023-02-05,"3,290"
United Airlines,Total,14 March – 15 April,2023-02-05,"3,554"
United Airlines,Total,14 March – 16 April,2023-02-05,"4,006"
United Airlines,Total,14 March – 17 April,2023-02-05,"5,686"
